epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,672.302,2.80794,1.72473,1.49478,0.23904,0.37383,0.20066,0.06982,2.81675,1.57083,1.50041,0.003565,0.003565,0.003565
67,681.455,2.83613,1.69607,1.46876,0.2418,0.40093,0.21437,0.07055,2.86601,1.52449,1.52196,0.003466,0.003466,0.003466
68,690.446,2.80017,1.70031,1.47808,0.22801,0.35327,0.19742,0.06875,2.8272,1.64821,1.51335,0.003367,0.003367,0.003367
69,699.485,2.80376,1.70058,1.47769,0.24601,0.36317,0.21154,0.07045,2.81608,1.58353,1.50202,0.003268,0.003268,0.003268
70,720.83,2.77971,1.66242,1.437,0.26716,0.32056,0.21148,0.07187,2.82166,1.57424,1.50301,0.003169,0.003169,0.003169
71,729.977,2.83865,1.65914,1.44693,0.25953,0.39065,0.22785,0.07516,2.89451,1.52186,1.53908,0.00307,0.00307,0.00307
72,738.864,2.76817,1.67064,1.45857,0.26196,0.37383,0.23061,0.0773,2.8396,1.53308,1.51001,0.002971,0.002971,0.002971
73,747.929,2.7708,1.65558,1.45994,0.25412,0.35701,0.2209,0.07453,2.82882,1.54073,1.50973,0.002872,0.002872,0.002872
74,757.161,2.7908,1.63336,1.44302,0.259,0.36355,0.22865,0.0789,2.83135,1.50516,1.50072,0.002773,0.002773,0.002773
75,766.376,2.81018,1.63802,1.43629,0.28914,0.35421,0.23426,0.08071,2.78525,1.5277,1.47397,0.002674,0.002674,0.002674
76,775.357,2.74015,1.69392,1.45929,0.256,0.38318,0.23134,0.07522,2.82312,1.54532,1.50202,0.002575,0.002575,0.002575
77,784.22,2.73314,1.6802,1.45717,0.24871,0.39533,0.23353,0.07794,2.79863,1.51004,1.48922,0.002476,0.002476,0.002476
78,793.475,2.76775,1.62492,1.43788,0.2659,0.3757,0.23845,0.07376,2.8938,1.50808,1.53426,0.002377,0.002377,0.002377
79,802.503,2.75661,1.64225,1.45264,0.27809,0.38411,0.24941,0.08485,2.76817,1.50007,1.46999,0.002278,0.002278,0.002278
80,811.659,2.73979,1.64518,1.41676,0.28162,0.3729,0.2507,0.08275,2.8031,1.49757,1.49154,0.002179,0.002179,0.002179
81,821.569,2.74003,1.60772,1.43722,0.32224,0.32243,0.25462,0.08439,2.77646,1.49269,1.48346,0.00208,0.00208,0.00208
82,830.637,2.72083,1.63259,1.40319,0.2754,0.35234,0.24294,0.08387,2.75644,1.50549,1.4779,0.001981,0.001981,0.001981
83,839.456,2.71437,1.62482,1.43305,0.2801,0.38972,0.25385,0.08351,2.78013,1.50225,1.49442,0.001882,0.001882,0.001882
84,848.635,2.74965,1.61734,1.41889,0.28945,0.36355,0.25247,0.08755,2.73253,1.49819,1.45858,0.001783,0.001783,0.001783
85,857.946,2.75566,1.59369,1.41103,0.30775,0.35701,0.26241,0.08871,2.75796,1.49251,1.46517,0.001684,0.001684,0.001684
86,867.058,2.69979,1.62642,1.42025,0.29548,0.35514,0.2527,0.08622,2.75377,1.53063,1.47414,0.001585,0.001585,0.001585
87,878.527,2.71424,1.61329,1.4098,0.27245,0.4,0.25269,0.08567,2.74374,1.50747,1.46283,0.001486,0.001486,0.001486
88,887.763,2.73061,1.58736,1.4005,0.28137,0.38505,0.25906,0.08738,2.75096,1.49226,1.46045,0.001387,0.001387,0.001387
89,896.7,2.7025,1.59733,1.42104,0.29101,0.37944,0.25947,0.08893,2.74607,1.48217,1.45864,0.001288,0.001288,0.001288
90,905.73,2.66856,1.62111,1.43043,0.27483,0.39626,0.25413,0.08817,2.74054,1.47442,1.46132,0.001189,0.001189,0.001189
91,975.919,2.8166,1.78359,1.51479,0.2994,0.36355,0.25495,0.08519,2.78626,1.50037,1.48874,0.00109,0.00109,0.00109
92,984.737,2.74097,1.68354,1.49121,0.2854,0.36654,0.25226,0.08296,2.79189,1.54378,1.49925,0.000991,0.000991,0.000991
93,993.215,2.70097,1.67539,1.44884,0.26823,0.36542,0.23725,0.0793,2.76121,1.54404,1.47927,0.000892,0.000892,0.000892
94,1001.69,2.68115,1.64409,1.44509,0.24691,0.39159,0.23253,0.07247,2.83636,1.56609,1.51135,0.000793,0.000793,0.000793
95,1009.99,2.66761,1.63404,1.46523,0.26195,0.4028,0.25677,0.08013,2.80332,1.56882,1.50812,0.000694,0.000694,0.000694
96,1018.21,2.67268,1.61966,1.47209,0.26656,0.4271,0.26079,0.08489,2.77002,1.55671,1.48862,0.000595,0.000595,0.000595
97,1026.44,2.64367,1.61421,1.46096,0.267,0.42523,0.26011,0.08889,2.73798,1.53005,1.46333,0.000496,0.000496,0.000496
98,1034.85,2.66103,1.6097,1.46066,0.26702,0.42617,0.25856,0.08768,2.73396,1.5031,1.4585,0.000397,0.000397,0.000397
99,1043.27,2.67114,1.62387,1.43832,0.26289,0.40187,0.2517,0.08667,2.72528,1.48516,1.44732,0.000298,0.000298,0.000298
100,1051.7,2.65039,1.61172,1.46075,0.26234,0.41215,0.25531,0.08824,2.71903,1.47951,1.44645,0.000199,0.000199,0.000199
